Time,Short Term Excitement,Long Time Excitement,Engagement/Boredom,Frustration,Meditation
0.0,4.585914E-4,4.62413E-4,0.5486427,0.4925897,0.33333308
0.46915436,4.585914E-4,4.62413E-4,0.54864264,0.47935343,0.3333331
0.50043106,4.585914E-4,4.62413E-4,0.54864264,0.47935343,0.3333331
0.9695854,4.585914E-4,4.62413E-4,0.5486425,0.4538686,0.3333331
1.0008621,4.585914E-4,4.62413E-4,0.5486425,0.4538686,0.3333331
1.4700127,4.585914E-4,4.62413E-4,0.54864246,0.42927173,0.33333313
1.5012894,4.585914E-4,4.62413E-4,0.54864246,0.42927173,0.33333313
1.9704437,4.585914E-4,4.62413E-4,0.54864246,0.4037111,0.33333316
2.0017204,4.585914E-4,4.62413E-4,0.54864246,0.4037111,0.33333316
2.4708748,4.585914E-4,4.62413E-4,0.5486424,0.3761205,0.33333316
2.5021515,4.585914E-4,4.62413E-4,0.5486424,0.3761205,0.33333316
